"x","y","Cluster"
1724.97854592754,-191580.613353246,"2"
1684.44372987496,-191581.699390792,"2"
855.402797879742,-161437.605611384,"3"
1013.94283765791,-191612.261173732,"2"
16.4063912754658,-196268.487932569,"2"
683.218821598361,-161462.126723468,"3"
486.547698502295,-161511.365912283,"3"
1814.37792718924,-161386.176397411,"3"
1754.17597284315,-161387.750836153,"3"
1810.26115285841,-191578.487206965,"2"
207.403903118591,-161741.539968553,"3"
793.968058422534,-191633.532440622,"2"
1123.8897662012,-191604.750312594,"2"
1506.66567355924,-161395.545842448,"3"
1339.99198901831,-191593.579581907,"2"
998.043660346534,-191613.484249555,"2"
1847.28153347877,-191577.625370484,"2"
1115.37475510776,-191605.279106172,"2"
92.9577605645692,-192372.612787839,"2"
541.558947227394,-191679.228346398,"2"
495.451564225213,-161508.291985612,"3"
1556.1982009806,-191585.508088375,"2"
1683.05766770217,-191581.737452106,"2"
1190.63438750104,-161410.209462388,"3"
894.07372183536,-161433.397112783,"3"
429.001667389958,-161534.309673066,"3"
1059.1926477004,-191608.981194123,"2"
804.839539960671,-191632.208072804,"2"
744.233343208639,-161452.139660846,"3"
1978.25958828179,-161382.375929722,"3"
307.03929941183,-161611.360302091,"3"
230.13083452278,-161701.924757863,"3"
405.940545332077,-161545.329692219,"3"
1288.97244965006,-191595.879122467,"2"
1859.09804568125,-161385.072853041,"3"
1800.79967779525,-191578.713155884,"2"
689.630937622773,-191648.3660711,"2"
1495.64312452213,-191587.533493732,"2"
1392.36612536208,-191591.394273841,"2"
649.409270854007,-191655.357211491,"2"
798.344193970233,-161444.559753344,"3"
1205.0945667328,-191600.082820648,"2"
684.157721366499,-191649.269084653,"2"
1232.76426428059,-191598.632876006,"2"
1997.48394697446,-191574.456388293,"2"
552.649676058472,-191676.343815001,"2"
1759.58652878841,-191579.725708331,"2"
247.074362923841,-191850.528802807,"2"
299.468430035373,-161010.891161716,"4"
1074.4444594629,-191607.937900987,"2"
1726.47822618912,-191580.574150997,"2"
587.07888084988,-161482.075303843,"3"
933.47905088068,-191618.87911451,"2"
1528.90710140728,-161394.742176073,"3"
574.96119291167,-161485.063039967,"3"
1951.31793489084,-191575.378473035,"2"
1838.50465078858,-191577.826557961,"2"
1533.19797204923,-161394.589813778,"3"
231.911064985727,-161699.149484811,"3"
517.735818008386,-191685.842182637,"2"
681.735011072658,-161462.391862352,"3"
1298.07149868878,-161404.423427799,"3"
1544.58183697432,-161394.18969203,"3"
1061.74408632539,-161418.6958209,"3"
124.366961137659,-192161.265586002,"2"
1890.38020967056,-161384.331947583,"3"
1694.0880435738,-191581.436281924,"2"
1049.17760011451,-161419.634768913,"3"
1336.99761898692,-191593.709695757,"2"
680.605424879548,-161462.594480633,"3"
1826.50968973915,-191578.104638429,"2"
1101.47537313325,-161415.868105608,"3"
1913.22789123146,-191576.172757614,"2"
1407.00208799572,-191590.81267276,"2"
1775.12509894826,-191579.338424762,"2"
1417.48882762467,-191590.403338176,"2"
1110.55494076733,-191605.582016956,"2"
383.40593202993,-161557.37853053,"3"
526.072394690374,-191683.459634986,"2"
43.8455562295832,-163236.319069363,"3"
1588.22869752236,-161392.70873928,"3"
1417.96536394185,-161399.001673102,"3"
1397.90856589055,-161399.843893475,"3"
116.246814963626,-162056.023469716,"3"
282.427633843821,-161634.976641835,"3"
222.200119350952,-191885.790085954,"2"
1573.32509095495,-191584.963522996,"2"
1712.35020360265,-191580.94618678,"2"
82.9394468305725,-162343.247534355,"3"
1011.4829941379,-191612.447887959,"2"
1657.68207877693,-191582.445515732,"2"
1719.35590269693,-161388.711797723,"3"
154.341917566973,-161879.432804588,"3"
1603.83922259204,-191584.022116985,"2"
28.3591913540523,-164269.57602105,"3"
331.246002195918,-161591.555206602,"3"
1194.57454862162,-161409.978880944,"3"
951.612142645658,-161427.768333065,"3"
1027.00035715245,-191611.285018512,"2"
