A,K,VLL,ELBO,ARI,Clusters,BIC
144.4459573,1847.436155,-774479.5433,1.78545E+13,0.450581911,3,8477446.842
511.195855,715.8903288,-2732298.687,1.78545E+13,0.562832162,2,10083587.68
732.6855863,1686.94796,-2011258.238,1.78545E+13,0.562832162,2,8641506.778
1977.188959,225.9405972,-11925663.06,1.78545E+13,0.562832162,2,28470316.42
1392.92185,1993.194418,-2629539.169,1.78545E+13,0.562832162,2,9878068.64
1390.302465,909.2794378,-4277401.487,1.78545E+13,0.562832162,2,13173793.28
1390.989081,1764.630068,-2820025.756,1.78545E+13,0.562832162,2,10259041.81
1535.929112,739.5863781,-5165469.782,1.78545E+13,0.562832162,2,14949929.87
1508.757925,476.3513734,-6808821.456,1.78545E+13,0.562832162,2,18236633.21
1138.343858,590.16695,-5077238.579,1.78545E+13,0.562832162,2,14773467.46
1286.222734,797.7055749,-4467279.849,1.78545E+13,0.562832162,2,13553550
93.37824035,1267.554914,-775984.3903,1.78545E+13,0.450581911,3,8480456.536
1767.540191,1007.101072,-4527861.053,1.78545E+13,0.562832162,2,13674712.41
932.0723292,500.7028993,-5011273.03,1.78545E+13,0.562832162,2,14641536.36
554.0827841,526.9243311,-3494673.994,1.78545E+13,0.562832162,2,11608338.29
1497.137005,159.6080787,-11987177.74,1.78545E+13,0.562832162,2,28593345.77
366.4852995,1569.625349,-1377609.202,1.78545E+13,0.562832162,2,7374208.706
207.6583651,312.6682396,-2525201.892,1.78545E+13,0.562832162,2,9669394.086
1445.87672,585.9245352,-5827696.833,1.78545E+13,0.562832162,2,16274383.97
1942.330995,126.2425789,-14745564.03,1.78545E+13,0.562832162,2,34110118.37
1049.32776,1851.110914,-2351046.545,1.78545E+13,0.562832162,2,9321083.393
1791.309835,1933.665077,-3036316.704,1.78545E+13,0.562832162,2,10691623.71
567.8441859,628.373816,-3176255.447,1.78545E+13,0.562832162,2,10971501.2
1003.527685,1315.649997,-2812853.543,1.78545E+13,0.562832162,2,10244697.39
431.2524253,107.4999357,-6142502.346,1.78545E+13,0.562832162,2,16903994.99
910.4260974,720.330541,-3908998.934,1.78545E+13,0.562832162,2,12436988.17
1383.549161,26.071436,-10474096.46,1.78545E+13,0.562832162,2,25567183.23
1824.405173,1027.867131,-4537678.317,1.78545E+13,0.562832162,2,13694346.94
1105.752512,1650.071422,-2589968.045,1.78545E+13,0.562832162,2,9798926.392
1312.320358,1937.555105,-2589629.709,1.78545E+13,0.562832162,2,9798249.72
150.8874788,1925.501304,-774652.0762,1.78545E+13,0.479113961,3,8477791.908
1125.959421,1107.286806,-3350151.636,1.78545E+13,0.562832162,2,11319293.57
875.2479747,1073.357564,-2949886.507,1.78545E+13,0.562832162,2,10518763.32
