a0,b0,VLL,ELBO,ARI,CL,BIC
1838.962759,1113.867524,-271120.656,1.78545E+13,0.562832162,2,5161231.614
379.0392366,719.4173518,-167899.7997,1.22466E+13,1,3,7264287.355
1174.042327,670.1059136,-246276.3161,1.78545E+13,0.562832162,2,5111542.934
458.1470962,667.7001666,-211456.1393,1.78545E+13,0.562832162,2,5041902.58
878.6715698,1632.638509,-218740.8038,1.78545E+13,0.562832162,2,5056471.909
291.0762471,1774.930337,-200484.8015,1.22466E+13,1,3,7329457.358
1152.25582,1976.29425,-223660.4637,1.78545E+13,0.562832162,2,5066311.229
1845.371129,1411.944759,-260816.5083,1.78545E+13,0.562832162,2,5140623.318
876.2788589,1461.248302,-219234.7191,1.78545E+13,0.562832162,2,5057459.74
1605.331073,1007.593515,-260854.3214,1.78545E+13,0.562832162,2,5140698.945
756.6814763,355.8104315,-231679.9947,1.78545E+13,0.562832162,2,5082350.291
1405.683723,600.9908757,-267396.3407,1.78545E+13,0.562832162,2,5153782.983
1875.502157,569.8158092,-310543.2662,1.78545E+13,0.562832162,2,5240076.834
1502.448223,524.1595808,-281761.062,1.78545E+13,0.562832162,2,5182512.426
362.5094542,156.353894,-217415.7594,1.78545E+13,0.562832162,2,5053821.821
510.7898694,964.7344102,-213040.4897,1.78545E+13,0.562832162,2,5045071.281
1564.588784,754.7501615,-269991.4845,1.78545E+13,0.562832162,2,5158973.271
758.945958,544.7114672,-223979.6684,1.78545E+13,0.562832162,2,5066949.639
855.5194241,1190.125509,-219994.2543,1.78545E+13,0.562832162,2,5058978.81
920.2192525,666.577753,-149583.9761,1.22466E+13,1,3,7227655.707
116.9790169,1596.16579,-231376.6277,1.22466E+13,1,3,7391241.011
84.58700947,1686.407793,-244659.6293,1.22466E+13,1,3,7417807.014
650.1357497,751.7523455,-216000.724,1.78545E+13,0.562832162,2,5050991.75
1898.423202,1840.938392,-252358.7929,1.78545E+13,0.562832162,2,5123707.888
588.7665443,1741.936795,-216310.9797,1.78545E+13,0.562832162,2,5051612.261
1288.170236,1697.576586,-230120.206,1.78545E+13,0.562832162,2,5079230.714
268.4094376,1036.488275,-187524.8673,1.22466E+13,1,3,7303537.49
1175.527836,689.4268581,-245563.6399,1.78545E+13,0.562832162,2,5110117.581
1220.284804,19.31366871,-635697.6697,1.22466E+13,1,3,8199883.095
782.1919413,663.2486662,-222646.9995,1.78545E+13,0.562832162,2,5064284.301
1942.089518,1154.381246,-275803.4411,1.78545E+13,0.562832162,2,5170597.184
1662.761883,646.6816068,-284888.3517,1.78545E+13,0.562832162,2,5188767.005
282.0701188,577.2406187,-211813.9845,1.78545E+13,0.562832162,2,5042618.271
133.5635987,1353.664035,-221015.7927,1.22466E+13,1,3,7370519.341
27.2161431,945.0388261,-256561.3275,1.22466E+13,1,3,7441610.41
1271.569935,986.2423891,-241707.2044,1.78545E+13,0.562832162,2,5102404.711
1772.373934,1902.189529,-245779.691,1.78545E+13,0.562832162,2,5110549.684
677.4788187,1736.218504,-216200.6676,1.78545E+13,0.562832162,2,5051391.637
1229.831776,603.8878677,-253537.8378,1.78545E+13,0.562832162,2,5126065.977
1440.948274,981.2706997,-251709.6062,1.78545E+13,0.562832162,2,5122409.514
1906.90504,493.5625366,-323163.1644,1.78545E+13,0.562832162,2,5265316.63
1488.841621,1805.982352,-149258.2865,1.22466E+13,1,3,7227004.328
209.5515772,86.6386385,-216390.4716,1.78545E+13,0.562832162,2,5051771.245
835.2367378,620.2781277,-226413.1518,1.78545E+13,0.562832162,2,5071816.605
271.2085705,338.3966527,-166478.308,1.22466E+13,1,3,7261444.371
583.5553342,1392.059604,-214945.2687,1.78545E+13,0.562832162,2,5048880.839
1492.265924,49.87644215,-584368.3942,1.78545E+13,0.548412007,3,8097224.544
1074.970216,154.5457186,-309597.1915,1.78545E+13,0.562832162,2,5238184.685
540.1412968,110.7971415,-249286.1074,1.78545E+13,0.562832162,2,5117562.516
351.8200646,1602.117107,-220953.5353,1.78545E+13,0.562832162,2,5060897.372
1109.74293,1606.197231,-225003.1635,1.78545E+13,0.562832162,2,5068996.629
503.0363232,1654.246872,-177940.9361,1.22466E+13,1,3,7284369.627
601.141796,1913.761352,-175750.0277,1.22466E+13,1,3,7279987.81
1488.940636,1299.984569,-245356.0487,1.78545E+13,0.562832162,2,5109702.399
171.0331532,138.2266158,-210497.3197,1.78545E+13,0.562832162,2,5039984.941
799.8087447,131.619677,-279007.0915,1.78545E+13,0.562832162,2,5177004.485
1633.009597,1543.575605,-246813.9441,1.78545E+13,0.562832162,2,5112618.19
583.3911347,1994.023996,-217477.7584,1.78545E+13,0.562832162,2,5053945.818
530.9429464,1737.119224,-177399.8196,1.22466E+13,1,3,7283287.394
475.7451907,687.8221575,-211746.7054,1.78545E+13,0.562832162,2,5042483.712
195.935478,450.8165212,-213823.6333,1.78545E+13,0.562832162,2,5046637.568
408.6338644,284.7224412,-212268.789,1.78545E+13,0.562832162,2,5043527.88
416.4294062,1768.207851,-186755.799,1.22466E+13,1,3,7301999.353
1200.669244,830.5873604,-242095.7212,1.78545E+13,0.562832162,2,5103181.744
1390.183342,1893.297397,-231482.2731,1.78545E+13,0.562832162,2,5081954.848
1275.095342,1612.042248,-150640.2577,1.22466E+13,1,3,7229768.271
1533.005526,1273.248185,-146508.1988,1.22466E+13,1,3,7221504.153
819.8297998,1597.417749,-161215.3269,1.22466E+13,1,3,7250918.409
1163.045435,202.4782841,-301121.5708,1.78545E+13,0.562832162,2,5221233.443
1658.958728,727.5804487,-278764.3495,1.78545E+13,0.562832162,2,5176519.001
392.4699081,659.2757774,-211026.4142,1.78545E+13,0.562832162,2,5041043.13
706.0854185,707.499003,-218496.6766,1.78545E+13,0.562832162,2,5055983.655
350.1785158,479.8987541,-209773.1308,1.78545E+13,0.562832162,2,5038536.563
1239.050314,1349.341989,-232749.4658,1.78545E+13,0.562832162,2,5084489.233
304.5528994,869.5831098,-178763.915,1.22466E+13,1,3,7286015.585
112.9763835,1069.148525,-219459.6238,1.22466E+13,1,3,7367407.003
1136.844756,1520.510246,-226673.1819,1.78545E+13,0.562832162,2,5072336.666
1251.213297,1431.312687,-149568.9198,1.22466E+13,1,3,7227625.595
200.4555921,1915.40796,-217513.5484,1.22466E+13,1,3,7363514.852
243.5270678,1946.235353,-210494.9758,1.22466E+13,1,3,7349477.707
1585.386123,488.6208027,-292993.8817,1.78545E+13,0.562832162,2,5204978.065
994.8671955,1942.208011,-220203.9005,1.78545E+13,0.562832162,2,5059398.103
179.42924,633.2818617,-219259.1732,1.78545E+13,0.562832162,2,5057508.648
1323.4581,1525.168541,-233644.2907,1.78545E+13,0.562832162,2,5086278.883
1663.480721,1515.11138,-146387.841,1.22466E+13,1,3,7221263.437
190.7326685,163.3087123,-209776.4312,1.78545E+13,0.562832162,2,5038543.164
957.9128194,644.6326363,-233028.555,1.78545E+13,0.562832162,2,5085047.412
658.297377,1652.33446,-215930.7972,1.78545E+13,0.562832162,2,5050851.896
205.0808441,969.417013,-223067.9437,1.78545E+13,0.562832162,2,5065126.189
1547.133916,1255.614462,-249472.1695,1.78545E+13,0.562832162,2,5117934.641
1714.945929,1492.196814,-146112.2664,1.22466E+13,1,3,7220712.288
1512.480253,526.5732622,-282420.4172,1.78545E+13,0.562832162,2,5183831.136
6.600672098,928.8981138,-275872.4192,1.22466E+13,1,3,7480232.594
1692.769484,1609.597326,-146509.7679,1.22466E+13,1,3,7221507.291
317.5912255,300.3142327,-209138.9207,1.78545E+13,0.562832162,2,5037268.143
1033.505766,653.815265,-237511.9245,1.78545E+13,0.562832162,2,5094014.151
413.5377591,530.6468912,-210489.1195,1.78545E+13,0.562832162,2,5039968.541
1955.707148,1758.262581,-256853.8438,1.78545E+13,0.562832162,2,5132697.989
1945.5379,1658.646995,-258905.1396,1.78545E+13,0.562832162,2,5136800.581
1316.693657,222.512644,-314570.6007,1.78545E+13,0.562832162,2,5248131.503
1527.032133,1377.662421,-146740.2899,1.22466E+13,1,3,7221968.335
1532.243275,322.8083401,-313419.1988,1.78545E+13,0.562832162,2,5245828.699
144.4459573,1847.436155,-228750.1456,1.22466E+13,1,3,7385988.046
511.195855,715.8903288,-212376.1456,1.78545E+13,0.562832162,2,5043742.593
732.6855863,1686.94796,-165839.6451,1.22466E+13,1,3,7260167.045
1977.188959,225.9405972,-404895.3439,1.78545E+13,0.562832162,2,5428780.99
1392.92185,1993.194418,-230520.5564,1.78545E+13,0.562832162,2,5080031.414
1390.302465,909.2794378,-147516.5798,1.22466E+13,1,3,7223520.915
1390.989081,1764.630068,-233023.3592,1.78545E+13,0.562832162,2,5085037.02
1535.929112,739.5863781,-268744.7342,1.78545E+13,0.562832162,2,5156479.77
1508.757925,476.3513734,-287225.6991,1.78545E+13,0.562832162,2,5193441.7
