"x","y","Cluster"
526.072394690374,-230607.463436265,"2"
43.8455562295832,-239363.194422704,"2"
1588.22869752236,-261494.596504807,"2"
1417.96536394185,-256800.018869624,"2"
1397.90856589055,-256232.170010551,"2"
116.246814963626,-231365.891137218,"2"
282.427633843821,-226963.62722529,"2"
222.200119350952,-193425.967260958,"3"
1573.32509095495,-261092.826609989,"2"
1712.35020360265,-264771.456641239,"2"
82.9394468305725,-208299.523687382,"3"
1011.4829941379,-244776.327245714,"2"
1657.68207877693,-263343.436016712,"2"
1719.35590269693,-264952.723506385,"2"
154.341917566973,-229268.852858367,"2"
1603.83922259204,-261913.517275397,"2"
28.3591913540523,-241635.226794688,"3"
331.246002195918,-227164.512134036,"2"
1194.57454862162,-250312.644174546,"2"
951.612142645658,-181682.953484767,"3"
1027.00035715245,-245250.666351523,"2"
1959.98550965289,-270942.360760357,"2"
445.846368035294,-228828.660458968,"2"
1398.5574248151,-181325.496299714,"3"
546.181142377955,-231104.58370954,"2"
1270.72670045548,-252562.653266197,"2"
1000.78330947556,-244448.908777104,"2"
368.756258931696,-227557.085880447,"2"
1517.64555172642,-259576.157911127,"2"
944.775314677457,-242731.891620815,"2"
896.740434906259,-181830.887782555,"3"
1053.64612658228,-246063.531945967,"2"
1706.49073017543,-264619.545255277,"2"
626.790322571655,-233242.967685051,"2"
1888.43705876683,-269208.973222163,"2"
737.024605558699,-236419.009124823,"2"
1101.62514981919,-181428.991213483,"3"
337.519748372709,-188013.35871621,"4"
1199.60575641211,-250462.411010959,"2"
405.896917528251,-227742.85202867,"3"
647.513907506175,-233432.083487614,"3"
1309.88176730503,-253180.668093199,"3"
527.004636433758,-230630.123975897,"2"
1161.87046048859,-249335.546575782,"2"
1989.09293123108,-271636.232167523,"2"
170.607715579453,-197139.79200694,"3"
28.4940459247914,-216872.507745131,"6"
1250.9025332675,-251980.50081827,"2"
1941.11144604306,-270488.954811747,"2"
1704.07423645947,-264556.815588624,"2"
1004.73549583262,-244569.878999862,"2"
1574.71599134827,-261130.397490049,"2"
82.9138340640673,-233832.495015461,"3"
2.72003349676456,-238500.807444262,"3"
1987.18775314079,-181246.538585401,"4"
1525.04887990537,-259779.238451882,"2"
561.891373906166,-231504.333167168,"2"
692.853431847785,-235121.21818453,"2"
366.149263192618,-227524.224626408,"2"
1710.51839463546,-264723.995157157,"2"
126.761028607149,-201633.140477958,"3"
317.968016307251,-227071.309001619,"2"
1536.13352068108,-260082.489101897,"2"
124.46119700766,-201917.42476907,"3"
455.817467442409,-229028.642552663,"2"
1842.99006166813,-268087.192317732,"2"
