"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"17",-2537063.98034088,17902032272492.7,0.534778941412533,3,12002615.7158412,150796.664835982,-253178.933800249,0.00587632334645268,20,45888351.1340221,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"18",-2536163.00878159,17902031422821,0.441928831792558,3,12000813.7727226,150901.127869933,-253898.366689462,-0.0106453863459986,20,45888142.2079542,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"19",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150959.778240298,-252067.326387827,0.0053908990324631,20,45888024.9072135,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"20",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150433.112614495,-250200.401519269,-0.0101990880632608,19,43579580.7850219,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"21",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151019.004176988,-254189.149388418,0.0112428406439296,20,45887906.4553401,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"22",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150956.737610629,-252390.537507589,0.00303679465147484,20,45888030.9884728,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"23",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150900.699794054,-251411.733240758,-0.000446732971244499,20,45888143.064106,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"24",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150772.507285209,-250595.686064044,0.0137211211445995,20,45888399.4491237,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"25",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150865.643003047,-249066.968812882,0.0160255657118688,20,45888213.177688,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"26",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151019.977970896,-253590.354315271,0.00967739401603997,20,45887904.5077523,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"27",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150914.160290708,-253657.120737856,-0.0090872738962373,20,45888116.1431127,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"28",-2536105.54672871,17902031393813,0.439034773377593,3,12000698.8486169,150954.621028282,-252014.630393578,-0.00520257068198404,20,45888035.2216375,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"29",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150905.333393311,-252189.979737991,-0.0090872738962373,19,43578636.3434643,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"30",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150877.20409516,-254042.715280904,-0.00788283876225327,20,45888190.0555038,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"31",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150842.60104931,-250915.233507458,-0.00706215795119125,20,45888259.2615955,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"32",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150755.260253066,-251602.43298477,0.0063002712399653,20,45888433.943188,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"33",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150769.686353245,-253368.824626799,0.0168528347312223,20,45888405.0909876,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"34",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151104.575450851,-254101.891711423,-0.000999425527059246,20,45887735.3127924,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"35",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150883.951737772,-251002.702511584,0.0144492591228579,20,45888176.5602186,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
